ACTIVITY_INSTANCE_NAME,ACTIVITY_ITEM_CLASS_NAME,ACTIVITY_ITEM_TYPE,ACTIVITY_ITEM_VALUE,IS_ADAM_PARAM_SPECIFIC
Acute Kidney Injury - Connective Tissue Disease or Vasculitis,test_name,terms,FATEST:AKI-Connective Tissue Disease/Vasculitis,
Acute Kidney Injury - CT Scan Performed,categoric_finding_original_result,,,
Acute Kidney Injury - CT Scan Performed,domain,terms,DOMAIN:FA,
Acute Kidney Injury - CT Scan Performed,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - CT Scan Performed,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY IMAGING,
Acute Kidney Injury - CT Scan Performed,test_code,terms,FATESTCD:AKICTSCA,
Acute Kidney Injury - CT Scan Performed,test_name,terms,FATEST:AKI-CT Scan,
Acute Kidney Injury - Family History of Kidney Disease,categoric_finding_original_result,,,
Acute Kidney Injury - Family History of Kidney Disease,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Family History of Kidney Disease,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Family History of Kidney Disease,test_code,terms,FATESTCD:AKIFAMHI,
Acute Kidney Injury - Family History of Kidney Disease,test_name,terms,FATEST:AKI-Family History of Kidney Disease,
Acute Kidney Injury - Hypertension,categoric_finding_original_result,,,
Acute Kidney Injury - Hypertension,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Hypertension,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Hypertension,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Hypertension,test_code,terms,FATESTCD:AKIHYPER,
Acute Kidney Injury - Hypertension,test_name,terms,FATEST:AKI-Hypertension,
Acute Kidney Injury - Other Imaging Performed,categoric_finding_original_result,,,
Acute Kidney Injury - Other Imaging Performed,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Other Imaging Performed,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Other Imaging Performed,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY IMAGING,
Acute Kidney Injury - Other Imaging Performed,test_code,terms,FATESTCD:AKIIMOTH,
Acute Kidney Injury - Other Imaging Performed,test_name,terms,FATEST:AKI-Other Imaging Performed,
Acute Kidney Injury - Imaging Performed,categoric_finding_original_result,,,
Acute Kidney Injury - Imaging Performed,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Imaging Performed,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Imaging Performed,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY IMAGING,
Acute Kidney Injury - Imaging Performed,test_code,terms,FATESTCD:AKIIMAGE,
Acute Kidney Injury - Imaging Performed,test_name,terms,FATEST:AKI-Imaging Performed,
Acute Kidney Injury - Summary of Imaging Results,textual_finding_original_result,,,
Acute Kidney Injury - Summary of Imaging Results,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Summary of Imaging Results,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Summary of Imaging Results,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY IMAGING,
Acute Kidney Injury - Summary of Imaging Results,test_code,terms,FATESTCD:AKIHISTO,
Acute Kidney Injury - Summary of Imaging Results,test_name,terms,FATEST:AKI-Summary of Imaging Results,
Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,categoric_finding_original_result,,,
Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,specimen,,,
Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY PRESENT,
Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,test_code,terms,FATESTCD:AKISC48,
Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,test_name,terms,FATEST:AKI-Incr Serum Crea >= 0.3 mg/dL Wth 48H,
Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,categoric_finding_original_result,,,
Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,specimen,,,
Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY PRESENT,
Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,test_code,terms,FATESTCD:AKISCI7D,
Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,test_name,terms,FATEST:AKI-Incr Serum Crea >= 1.5 Baseli Wth 7D,
Acute Kidney Injury - Initiation of RAS Blockade,categoric_finding_original_result,,,
Acute Kidney Injury - Initiation of RAS Blockade,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Initiation of RAS Blockade,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Initiation of RAS Blockade,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,
Acute Kidney Injury - Initiation of RAS Blockade,test_code,terms,FATESTCD:AKIRASBL,
Acute Kidney Injury - Initiation of RAS Blockade,test_name,terms,FATEST:AKI-Nephrotoxic Treatment RAS Blockade,
Acute Kidney Injury - IV Contrast,categoric_finding_original_result,,,
Acute Kidney Injury - IV Contrast,domain,terms,DOMAIN:FA,
Acute Kidney Injury - IV Contrast,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - IV Contrast,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,
Acute Kidney Injury - IV Contrast,test_code,terms,FATESTCD:AKIIVCON,
Acute Kidney Injury - IV Contrast,test_name,terms,FATEST:AKI-Nephrotoxic Treatment IV Contrast,
Acute Kidney Injury - Summary of Biopsy Histology Results,textual_finding_original_result,,,
Acute Kidney Injury - Summary of Biopsy Histology Results,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Summary of Biopsy Histology Results,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Summary of Biopsy Histology Results,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY BIOPSY,
Acute Kidney Injury - Summary of Biopsy Histology Results,test_code,terms,FATESTCD:AKIBIHIS,
Acute Kidney Injury - Summary of Biopsy Histology Results,test_name,terms,FATEST:AKI-Summary of Biopsy Histology Results,
Acute Kidney Injury - Kidney Biopsy Performed,categoric_finding_original_result,,,
Acute Kidney Injury - Kidney Biopsy Performed,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Kidney Biopsy Performed,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Kidney Biopsy Performed,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY BIOPSY,
Acute Kidney Injury - Kidney Biopsy Performed,test_code,terms,FATESTCD:AKIBIOPS,
Acute Kidney Injury - Kidney Biopsy Performed,test_name,terms,FATEST:AKI-Kidney Biopsy Performed,
Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,categoric_finding_original_result,,,
Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,
Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,test_code,terms,FATESTCD:AKINDA3M,
Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,test_name,terms,FATEST:AKI-Nephrotoxic Treatment Last 3 Months,
Acute Kidney Injury - Nephrotoxic Treatment Other,categoric_finding_original_result,,,
Acute Kidney Injury - Nephrotoxic Treatment Other,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Nephrotoxic Treatment Other,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Nephrotoxic Treatment Other,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,
Acute Kidney Injury - Nephrotoxic Treatment Other,test_code,terms,FATESTCD:AKINDAOT,
Acute Kidney Injury - Nephrotoxic Treatment Other,test_name,terms,FATEST:AKI-Nephrotoxic Treatment Other,
Acute Kidney Injury - NSAIDs,categoric_finding_original_result,,,
Acute Kidney Injury - NSAIDs,domain,terms,DOMAIN:FA,
Acute Kidney Injury - NSAIDs,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - NSAIDs,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,
Acute Kidney Injury - NSAIDs,test_code,terms,FATESTCD:AKINSAID,
Acute Kidney Injury - NSAIDs,test_name,terms,FATEST:AKI-Nephrotoxic Treatment NSAIDs,
Acute Kidney Injury - Post-Renal Obstructive Disease,categoric_finding_original_result,,,
Acute Kidney Injury - Post-Renal Obstructive Disease,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Post-Renal Obstructive Disease,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Post-Renal Obstructive Disease,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Post-Renal Obstructive Disease,test_code,terms,FATESTCD:AKIPROBS,
Acute Kidney Injury - Post-Renal Obstructive Disease,test_name,terms,FATEST:AKI-Post-renal Obstructive Disease,
Acute Kidney Injury - Present Other,categoric_finding_original_result,,,
Acute Kidney Injury - Present Other,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Present Other,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Present Other,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY PRESENT,
Acute Kidney Injury - Present Other,test_code,terms,FATESTCD:AKIPROTH,
Acute Kidney Injury - Present Other,test_name,terms,FATEST:AKI-Present Other,
Acute Kidney Injury - Primary Glomerulonephritis,categoric_finding_original_result,,,
Acute Kidney Injury - Primary Glomerulonephritis,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Primary Glomerulonephritis,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Primary Glomerulonephritis,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Primary Glomerulonephritis,test_code,terms,FATESTCD:AKIPRGLO,
Acute Kidney Injury - Primary Glomerulonephritis,test_name,terms,FATEST:AKI-Primary Glomerulonephritis,
Acute Kidney Injury - Progression of Chronic Kidney Disease,categoric_finding_original_result,,,
Acute Kidney Injury - Progression of Chronic Kidney Disease,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Progression of Chronic Kidney Disease,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Progression of Chronic Kidney Disease,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Progression of Chronic Kidney Disease,test_code,terms,FATESTCD:AKIPRCKD,
Acute Kidney Injury - Progression of Chronic Kidney Disease,test_name,terms,FATEST:AKI-Chronic Kidney Disease Progression,
Acute Kidney Injury - Recent Streptococcal Infection,categoric_finding_original_result,,,
Acute Kidney Injury - Recent Streptococcal Infection,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Recent Streptococcal Infection,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Recent Streptococcal Infection,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Recent Streptococcal Infection,test_code,terms,FATESTCD:AKISTREP,
Acute Kidney Injury - Recent Streptococcal Infection,test_name,terms,FATEST:AKI-Recent Streptococcal Infection,
Acute Kidney Injury - Renal Angio-Imaging Performed,categoric_finding_original_result,,,
Acute Kidney Injury - Renal Angio-Imaging Performed,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Renal Angio-Imaging Performed,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Renal Angio-Imaging Performed,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY IMAGING,
Acute Kidney Injury - Renal Angio-Imaging Performed,test_code,terms,FATESTCD:AKIRANIM,
Acute Kidney Injury - Renal Angio-Imaging Performed,test_name,terms,FATEST:AKI-Renal Angio-imaging,
Acute Kidney Injury - Renal Artery Stenosis,categoric_finding_original_result,,,
Acute Kidney Injury - Renal Artery Stenosis,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Renal Artery Stenosis,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Renal Artery Stenosis,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Renal Artery Stenosis,test_code,terms,FATESTCD:AKIREAST,
Acute Kidney Injury - Renal Artery Stenosis,test_name,terms,FATEST:AKI-Renal Artery Stenosis,
Acute Kidney Injury - Renal Vein Thrombosis,categoric_finding_original_result,,,
Acute Kidney Injury - Renal Vein Thrombosis,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Renal Vein Thrombosis,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Renal Vein Thrombosis,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Renal Vein Thrombosis,test_code,terms,FATESTCD:AKIREVET,
Acute Kidney Injury - Renal Vein Thrombosis,test_name,terms,FATEST:AKI-Renal Vein Thrombosis,
Acute Kidney Injury - Systemic Autoimmune Disease,categoric_finding_original_result,,,
Acute Kidney Injury - Systemic Autoimmune Disease,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Systemic Autoimmune Disease,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Systemic Autoimmune Disease,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Systemic Autoimmune Disease,test_code,terms,FATESTCD:AKISYAUD,
Acute Kidney Injury - Systemic Autoimmune Disease,test_name,terms,FATEST:AKI-Systemic Autoimmune Disease,
Acute Kidney Injury - Ultrasound Performed,categoric_finding_original_result,,,
Acute Kidney Injury - Ultrasound Performed,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Ultrasound Performed,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Ultrasound Performed,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY IMAGING,
Acute Kidney Injury - Ultrasound Performed,test_code,terms,FATESTCD:AKIULTRA,
Acute Kidney Injury - Ultrasound Performed,test_name,terms,FATEST:AKI-Ultrasound,
Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,categoric_finding_original_result,,,
Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,specimen,,,
Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY PRESENT,
Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,test_code,terms,FATESTCD:AKIUV6H,
Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,test_name,terms,FATEST:AKI-Urine Vol < 0.5 mL/kg/h for 6 Hours,
Adjudication Outcome,categoric_finding_original_result,,,
Adjudication Outcome,domain,terms,DOMAIN:ZA,
Adjudication Outcome,finding_category,terms,FINDCAT:EVENT ADJUDICATION,
Adjudication Outcome,test_code,terms,ZATESTCD:ADJOUT,
Adjudication Outcome,test_name,terms,ZATEST:Adjudication Outcome,
Adverse Event,domain,terms,DOMAIN:AE,
Adverse Event,finding_category,terms,FINDCAT:ADVERSE EVENT,
Adverse Event,finding_subcategory,terms,FINDSCAT:ADVERSE EVENT,
"Albumin, AE Requiring Additional Data",numeric_finding_original_result,,,
"Albumin, AE Requiring Additional Data",numeric_finding_original_result_unit,,,
"Albumin, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Albumin, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Albumin, AE Requiring Additional Data",unit_dimension,terms,UNITDIM:CONCENTRATION,
"Albumin, AE Requiring Additional Data",standard_unit,units,g/L,
"Albumin, AE Requiring Additional Data",molecular_weight,,,
"Albumin, AE Requiring Additional Data",test_code,terms,LBTESTCD:ALB,
"Albumin, AE Requiring Additional Data",test_name,terms,LBTEST:Albumin,
Urinary Albumin Excretion,textual_finding_original_result,,,
Urinary Albumin Excretion,specimen,,,
Urinary Albumin Excretion,domain,terms,DOMAIN:LB,
Urinary Albumin Excretion,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Urinary Albumin Excretion,finding_subcategory,terms,FINDSCAT:RENAL EVENT,
Urinary Albumin Excretion,test_code,terms,LBTESTCD:ALB,
Urinary Albumin Excretion,test_name,terms,LBTEST:Albumin,
Albumin/Creatinine,numeric_finding_original_result,,,
Albumin/Creatinine,numeric_finding_original_result_unit,,,
Albumin/Creatinine,domain,terms,DOMAIN:LB,
Albumin/Creatinine,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Albumin/Creatinine,unit_dimension,terms,UNITDIM:CONCENTRATION,
Albumin/Creatinine,standard_unit,units,mg/mmol,
Albumin/Creatinine,test_code,terms,LBTESTCD:ALBCREAT,
Albumin/Creatinine,test_name,terms,LBTEST:Albumin/Creatinine,
Albumin/Creatinine Ratio,numeric_finding_original_result,,,
Albumin/Creatinine Ratio,numeric_finding_original_result_unit,,,
Albumin/Creatinine Ratio,specimen,,,
Albumin/Creatinine Ratio,domain,terms,DOMAIN:LB,
Albumin/Creatinine Ratio,finding_category,terms,FINDCAT:URINALYSIS,
Albumin/Creatinine Ratio,unit_dimension,terms,UNITDIM:CONCENTRATION,
Albumin/Creatinine Ratio,standard_unit,units,mg/mmol,
Albumin/Creatinine Ratio,loinc,,,
Albumin/Creatinine Ratio,test_code,terms,LBTESTCD:ALBCREAT,
Albumin/Creatinine Ratio,test_name,terms,LBTEST:Albumin/Creatinine,
Albumin Urine,numeric_finding_original_result,,,
Albumin Urine,numeric_finding_original_result_unit,,,
Albumin Urine,specimen,,,
Albumin Urine,domain,terms,DOMAIN:LB,
Albumin Urine,finding_category,terms,FINDCAT:URINALYSIS,
Albumin Urine,unit_dimension,terms,UNITDIM:CONCENTRATION,
Albumin Urine,standard_unit,units,mg/L,
Albumin Urine,molecular_weight,,,
Albumin Urine,loinc,,,
Albumin Urine,test_code,terms,LBTESTCD:ALB,
Albumin Urine,test_name,terms,LBTEST:Albumin,
"Albumin, g/dL",numeric_finding_original_result,,,
"Albumin, g/dL",numeric_finding_original_result_unit,,,
"Albumin, g/dL",specimen,,,
"Albumin, g/dL",domain,terms,DOMAIN:LB,
"Albumin, g/dL",finding_category,terms,FINDCAT:BIOCHEMISTRY,
"Albumin, g/dL",unit_dimension,terms,UNITDIM:CONCENTRATION,
"Albumin, g/dL",standard_unit,units,g/dL,
"Albumin, g/dL",molecular_weight,,,
"Albumin, g/dL",loinc,,,
"Albumin, g/dL",test_code,terms,LBTESTCD:ALB,
"Albumin, g/dL",test_name,terms,LBTEST:Albumin,
"Alkaline Phosphatase, AE Requiring Additional Data",numeric_finding_original_result,,,
"Alkaline Phosphatase, AE Requiring Additional Data",numeric_finding_original_result_unit,,,
"Alkaline Phosphatase, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Alkaline Phosphatase, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Alkaline Phosphatase, AE Requiring Additional Data",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Alkaline Phosphatase, AE Requiring Additional Data",standard_unit,units,IU/L,
"Alkaline Phosphatase, AE Requiring Additional Data",test_code,terms,LBTESTCD:ALP,
"Alkaline Phosphatase, AE Requiring Additional Data",test_name,terms,LBTEST:Alkaline Phosphatase,
"Alanine Aminotransferase, AE Requiring Additional Data",numeric_finding_original_result,,,
"Alanine Aminotransferase, AE Requiring Additional Data",numeric_finding_original_result_unit,,,
"Alanine Aminotransferase, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Alanine Aminotransferase, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Alanine Aminotransferase, AE Requiring Additional Data",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Alanine Aminotransferase, AE Requiring Additional Data",standard_unit,units,U/L,
"Alanine Aminotransferase, AE Requiring Additional Data",test_code,terms,LBTESTCD:ALT,
"Alanine Aminotransferase, AE Requiring Additional Data",test_name,terms,LBTEST:Alanine Aminotransferase,
"Alanine Aminotransferase, Biochemistry",numeric_finding_original_result,,,
"Alanine Aminotransferase, Biochemistry",numeric_finding_original_result_unit,,,
"Alanine Aminotransferase, Biochemistry",specimen,,,
"Alanine Aminotransferase, Biochemistry",domain,terms,DOMAIN:LB,
"Alanine Aminotransferase, Biochemistry",finding_category,terms,FINDCAT:BIOCHEMISTRY,
"Alanine Aminotransferase, Biochemistry",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Alanine Aminotransferase, Biochemistry",standard_unit,units,U/L,
"Alanine Aminotransferase, Biochemistry",loinc,,,
"Alanine Aminotransferase, Biochemistry",test_code,terms,LBTESTCD:ALT,
"Alanine Aminotransferase, Biochemistry",test_name,terms,LBTEST:Alanine Aminotransferase,
Ammonia,numeric_finding_original_result,,,
Ammonia,numeric_finding_original_result_unit,,,
Ammonia,domain,terms,DOMAIN:LB,
Ammonia,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Ammonia,unit_dimension,terms,UNITDIM:CONCENTRATION,
Ammonia,standard_unit,units,mg/L,
Ammonia,molecular_weight,,,
Ammonia,test_code,terms,LBTESTCD:AMMONIA,
Ammonia,test_name,terms,LBTEST:Ammonia,
"Amylase, AE Requiring Additional Data",numeric_finding_original_result,,,
"Amylase, AE Requiring Additional Data",numeric_finding_original_result_unit,,,
"Amylase, AE Requiring Additional Data",domain,terms,DOMAIN:LB,
"Amylase, AE Requiring Additional Data",finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
"Amylase, AE Requiring Additional Data",unit_dimension,terms,UNITDIM:U_IU Concentration,
"Amylase, AE Requiring Additional Data",standard_unit,units,U/L,
"Amylase, AE Requiring Additional Data",test_code,terms,LBTESTCD:AMYLASE,
"Amylase, AE Requiring Additional Data",test_name,terms,LBTEST:Amylase,
