item_oid,item_group_oid,order_number,mandatory,key_sequence,method_oid,imputation_method_oid,role,role_codelist_oid,collection_exception_condition_oid
ImportedInstance_Item_102,ImportedInstance_G_74,1,No,,,,,,
ImportedInstance_Item_103,ImportedInstance_G_75,1,No,,,,,,
ImportedInstance_Item_104,ImportedInstance_G_75,2,No,,,,,,
ImportedInstance_Item_105,ImportedInstance_G_76,1,No,,,,,,
ImportedInstance_Item_106,ImportedInstance_G_77,1,No,,,,,,
ImportedInstance_Item_107,ImportedInstance_G_77,2,No,,,,,,
ImportedInstance_Item_108,ImportedInstance_G_78,1,No,,,,,,
ImportedInstance_Item_109,ImportedInstance_G_79,1,No,,,,,,
ImportedInstance_Item_110,ImportedInstance_G_80,1,No,,,,,,
ImportedInstance_Item_111,ImportedInstance_G_81,1,No,,,,,,
ImportedInstance_Item_112,ImportedInstance_G_82,1,No,,,,,,
ImportedInstance_Item_113,ImportedInstance_G_82,2,No,,,,,,
ImportedInstance_Item_114,ImportedInstance_G_83,1,No,,,,,,
ImportedInstance_Item_115,ImportedInstance_G_83,2,No,,,,,,
ImportedInstance_Item_116,ImportedInstance_G_84,1,No,,,,,,
ImportedInstance_Item_117,ImportedInstance_G_84,2,No,,,,,,
ImportedInstance_Item_118,ImportedInstance_G_85,1,No,,,,,,
ImportedInstance_Item_119,ImportedInstance_G_86,1,No,,,,,,
ImportedInstance_Item_120,ImportedInstance_G_86,2,No,,,,,,
ImportedInstance_Item_121,ImportedInstance_G_87,1,No,,,,,,
ImportedInstance_Item_122,ImportedInstance_G_87,2,No,,,,,,
ImportedInstance_Item_123,ImportedInstance_G_88,1,No,,,,,,
ImportedInstance_Item_124,ImportedInstance_G_88,2,No,,,,,,
ImportedInstance_Item_125,ImportedInstance_G_89,1,No,,,,,,
ImportedInstance_Item_126,ImportedInstance_G_90,1,No,,,,,,
ImportedInstance_Item_127,ImportedInstance_G_90,2,No,,,,,,
ImportedInstance_Item_128,ImportedInstance_G_91,1,No,,,,,,
ImportedInstance_Item_129,ImportedInstance_G_91,2,No,,,,,,
ImportedInstance_Item_130,ImportedInstance_G_92,1,No,,,,,,
ImportedInstance_Item_131,ImportedInstance_G_92,2,No,,,,,,
ImportedInstance_Item_132,ImportedInstance_G_93,1,No,,,,,,
ImportedInstance_Item_133,ImportedInstance_G_93,2,No,,,,,,
ImportedInstance_Item_134,ImportedInstance_G_94,1,No,,,,,,
ImportedInstance_Item_135,ImportedInstance_G_94,2,No,,,,,,
ImportedInstance_Item_136,ImportedInstance_G_95,1,No,,,,,,
ImportedInstance_Item_137,ImportedInstance_G_95,2,No,,,,,,
ImportedInstance_Item_138,ImportedInstance_G_96,1,No,,,,,,
ImportedInstance_Item_139,ImportedInstance_G_97,1,No,,,,,,
ImportedInstance_Item_140,ImportedInstance_G_98,1,No,,,,,,
ImportedInstance_Item_141,ImportedInstance_G_99,1,No,,,,,,
ImportedInstance_Item_142,ImportedInstance_G_100,1,No,,,,,,
ImportedInstance_Item_143,ImportedInstance_G_101,1,No,,,,,,
ImportedInstance_Item_144,ImportedInstance_G_101,2,No,,,,,,
ImportedInstance_Item_145,ImportedInstance_G_102,1,No,,,,,,
ImportedInstance_Item_146,ImportedInstance_G_102,2,No,,,,,,
ImportedInstance_Item_147,ImportedInstance_G_103,1,No,,,,,,
ImportedInstance_Item_148,ImportedInstance_G_103,2,No,,,,,,
ImportedInstance_Item_149,ImportedInstance_G_104,1,No,,,,,,
ImportedInstance_Item_150,ImportedInstance_G_105,1,No,,,,,,
ImportedInstance_Item_151,ImportedInstance_G_105,2,No,,,,,,
ImportedInstance_Item_152,ImportedInstance_G_106,1,No,,,,,,
ImportedInstance_Item_153,ImportedInstance_G_107,1,No,,,,,,
ImportedInstance_Item_154,ImportedInstance_G_108,1,No,,,,,,
ImportedInstance_Item_155,ImportedInstance_G_109,1,No,,,,,,
ImportedInstance_Item_156,ImportedInstance_G_109,2,No,,,,,,
ImportedInstance_Item_157,ImportedInstance_G_110,1,No,,,,,,
ImportedInstance_Item_158,ImportedInstance_G_110,2,No,,,,,,
ImportedInstance_Item_159,ImportedInstance_G_111,1,No,,,,,,
ImportedInstance_Item_160,ImportedInstance_G_112,1,No,,,,,,
ImportedInstance_Item_161,ImportedInstance_G_113,1,No,,,,,,
ImportedInstance_Item_162,ImportedInstance_G_114,1,No,,,,,,
ImportedInstance_Item_163,ImportedInstance_G_115,1,No,,,,,,
ImportedInstance_Item_164,ImportedInstance_G_116,1,No,,,,,,
ImportedInstance_Item_165,ImportedInstance_G_117,1,No,,,,,,
ImportedInstance_Item_166,ImportedInstance_G_118,1,No,,,,,,
ImportedInstance_Item_167,ImportedInstance_G_119,1,No,,,,,,
ImportedInstance_Item_168,ImportedInstance_G_120,1,No,,,,,,
ImportedInstance_Item_169,ImportedInstance_G_121,1,No,,,,,,
ImportedInstance_Item_170,ImportedInstance_G_122,1,No,,,,,,
ImportedInstance_Item_171,ImportedInstance_G_123,1,No,,,,,,
ImportedInstance_Item_172,ImportedInstance_G_124,1,No,,,,,,
ImportedInstance_Item_173,ImportedInstance_G_125,1,No,,,,,,
ImportedInstance_Item_174,ImportedInstance_G_126,1,No,,,,,,
ImportedInstance_Item_175,ImportedInstance_G_127,1,No,,,,,,
ImportedInstance_Item_176,ImportedInstance_G_128,1,No,,,,,,
ImportedInstance_Item_177,ImportedInstance_G_129,1,No,,,,,,
ImportedInstance_Item_178,ImportedInstance_G_130,1,No,,,,,,
ImportedInstance_Item_179,ImportedInstance_G_131,1,No,,,,,,
ImportedInstance_Item_180,ImportedInstance_G_132,1,No,,,,,,
ImportedInstance_Item_181,ImportedInstance_G_133,1,No,,,,,,
ImportedInstance_Item_182,ImportedInstance_G_134,1,No,,,,,,
ImportedInstance_Item_183,ImportedInstance_G_135,1,No,,,,,,
ImportedInstance_Item_184,ImportedInstance_G_136,1,No,,,,,,
ImportedInstance_Item_185,ImportedInstance_G_137,1,No,,,,,,
ImportedInstance_Item_186,ImportedInstance_G_138,1,No,,,,,,
ImportedInstance_Item_187,ImportedInstance_G_139,1,No,,,,,,
ImportedInstance_Item_188,ImportedInstance_G_140,1,No,,,,,,
ImportedInstance_Item_189,ImportedInstance_G_141,1,No,,,,,,
ImportedInstance_Item_190,ImportedInstance_G_142,1,No,,,,,,
ImportedInstance_Item_191,ImportedInstance_G_143,1,No,,,,,,
ImportedInstance_Item_192,ImportedInstance_G_144,1,No,,,,,,
ImportedInstance_Item_193,ImportedInstance_G_145,1,No,,,,,,
ImportedInstance_Item_194,ImportedInstance_G_146,1,No,,,,,,
ImportedInstance_Item_195,ImportedInstance_G_147,1,No,,,,,,
ImportedInstance_Item_196,ImportedInstance_G_148,1,No,,,,,,
ImportedInstance_Item_197,ImportedInstance_G_149,1,No,,,,,,
ImportedInstance_Item_198,ImportedInstance_G_150,1,No,,,,,,
ImportedInstance_Item_199,ImportedInstance_G_151,1,No,,,,,,
ImportedInstance_Item_200,ImportedInstance_G_152,1,No,,,,,,
ImportedInstance_Item_201,ImportedInstance_G_153,1,No,,,,,,
ImportedInstance_Item_202,ImportedInstance_G_154,1,No,,,,,,
ImportedInstance_Item_203,ImportedInstance_G_154,2,No,,,,,,
ImportedInstance_Item_204,ImportedInstance_G_155,1,No,,,,,,
ImportedInstance_Item_205,ImportedInstance_G_155,2,No,,,,,,
ImportedInstance_Item_206,ImportedInstance_G_156,1,No,,,,,,
ImportedInstance_Item_207,ImportedInstance_G_157,1,No,,,,,,
ImportedInstance_Item_208,ImportedInstance_G_158,1,No,,,,,,
ImportedInstance_Item_209,ImportedInstance_G_158,2,No,,,,,,
ImportedInstance_Item_210,ImportedInstance_G_159,1,No,,,,,,
ImportedInstance_Item_211,ImportedInstance_G_159,2,No,,,,,,
ImportedInstance_Item_212,ImportedInstance_G_160,1,No,,,,,,
ImportedInstance_Item_213,ImportedInstance_G_161,1,No,,,,,,
ImportedInstance_Item_214,ImportedInstance_G_161,2,No,,,,,,
ImportedInstance_Item_215,ImportedInstance_G_162,1,No,,,,,,
ImportedInstance_Item_216,ImportedInstance_G_162,2,No,,,,,,
ImportedInstance_Item_217,ImportedInstance_G_163,1,No,,,,,,
ImportedInstance_Item_218,ImportedInstance_G_163,2,No,,,,,,
ImportedInstance_Item_219,ImportedInstance_G_164,1,No,,,,,,
ImportedInstance_Item_220,ImportedInstance_G_165,1,No,,,,,,
ImportedInstance_Item_221,ImportedInstance_G_166,1,No,,,,,,
ImportedInstance_Item_222,ImportedInstance_G_166,2,No,,,,,,
ImportedInstance_Item_223,ImportedInstance_G_167,1,No,,,,,,
ImportedInstance_Item_224,ImportedInstance_G_168,1,No,,,,,,
ImportedInstance_Item_225,ImportedInstance_G_169,1,No,,,,,,
ImportedInstance_Item_226,ImportedInstance_G_170,1,No,,,,,,
ImportedInstance_Item_227,ImportedInstance_G_170,2,No,,,,,,
ImportedInstance_Item_228,ImportedInstance_G_171,1,No,,,,,,
ImportedInstance_Item_229,ImportedInstance_G_172,1,No,,,,,,
ImportedInstance_Item_230,ImportedInstance_G_173,1,No,,,,,,
ImportedInstance_Item_231,ImportedInstance_G_174,1,No,,,,,,
ImportedInstance_Item_232,ImportedInstance_G_175,1,No,,,,,,
ImportedInstance_Item_233,ImportedInstance_G_175,2,No,,,,,,
ImportedInstance_Item_234,ImportedInstance_G_176,1,No,,,,,,
ImportedInstance_Item_235,ImportedInstance_G_177,1,No,,,,,,
ImportedInstance_Item_236,ImportedInstance_G_178,1,No,,,,,,
ImportedInstance_Item_237,ImportedInstance_G_179,1,No,,,,,,
ImportedInstance_Item_238,ImportedInstance_G_180,1,No,,,,,,
ImportedInstance_Item_239,ImportedInstance_G_181,1,No,,,,,,
ImportedInstance_Item_240,ImportedInstance_G_182,1,No,,,,,,
ImportedInstance_Item_241,ImportedInstance_G_183,1,No,,,,,,
ImportedInstance_Item_242,ImportedInstance_G_184,1,No,,,,,,
ImportedInstance_Item_243,ImportedInstance_G_185,1,No,,,,,,
ImportedInstance_Item_244,ImportedInstance_G_186,1,No,,,,,,
ImportedInstance_Item_245,ImportedInstance_G_186,2,No,,,,,,
ImportedInstance_Item_246,ImportedInstance_G_187,1,No,,,,,,
ImportedInstance_Item_247,ImportedInstance_G_188,1,No,,,,,,
ImportedInstance_Item_248,ImportedInstance_G_189,1,No,,,,,,
ImportedInstance_Item_249,ImportedInstance_G_190,1,No,,,,,,
ImportedInstance_Item_250,ImportedInstance_G_191,1,No,,,,,,
ImportedInstance_Item_251,ImportedInstance_G_191,2,No,,,,,,
ImportedInstance_Item_252,ImportedInstance_G_192,1,No,,,,,,
ImportedInstance_Item_253,ImportedInstance_G_193,1,No,,,,,,
ImportedInstance_Item_254,ImportedInstance_G_194,1,No,,,,,,
ImportedInstance_Item_255,ImportedInstance_G_195,1,No,,,,,,
ImportedInstance_Item_256,ImportedInstance_G_195,2,No,,,,,,
ImportedInstance_Item_257,ImportedInstance_G_196,1,No,,,,,,
ImportedInstance_Item_258,ImportedInstance_G_197,1,No,,,,,,
ImportedInstance_Item_259,ImportedInstance_G_198,1,No,,,,,,
ImportedInstance_Item_260,ImportedInstance_G_199,1,No,,,,,,
ImportedInstance_Item_261,ImportedInstance_G_199,2,No,,,,,,
ImportedInstance_Item_262,ImportedInstance_G_200,1,No,,,,,,
ImportedInstance_Item_263,ImportedInstance_G_200,2,No,,,,,,
ImportedInstance_Item_264,ImportedInstance_G_201,1,No,,,,,,
ImportedInstance_Item_265,ImportedInstance_G_201,2,No,,,,,,
ImportedInstance_Item_266,ImportedInstance_G_202,1,No,,,,,,
ImportedInstance_Item_267,ImportedInstance_G_202,2,No,,,,,,
ImportedInstance_Item_268,ImportedInstance_G_203,1,No,,,,,,
ImportedInstance_Item_269,ImportedInstance_G_203,2,No,,,,,,
ImportedInstance_Item_270,ImportedInstance_G_204,1,No,,,,,,
ImportedInstance_Item_271,ImportedInstance_G_205,1,No,,,,,,
ImportedInstance_Item_272,ImportedInstance_G_206,1,No,,,,,,
ImportedInstance_Item_273,ImportedInstance_G_206,2,No,,,,,,
ImportedInstance_Item_274,ImportedInstance_G_207,1,No,,,,,,
ImportedInstance_Item_275,ImportedInstance_G_207,2,No,,,,,,
