oid,name,prompt,datatype,length,significant_digits,sas_field_name,sds_var_name,origin,comment,unit_definitions,external_question,codelist_submission_value,terms,translated_texts,aliases
I.PREVSUBJ,Previous Subject No.,Previous Subject No,string,10,0,PREVSUBJ,PREVSUBJ in SUPPDM,Collected Value,,,,,,Description::en::Previous Subject No.,
I.VSDAT,Date of examination,Date of examination,date,,0,VSDAT,VS:VSDTC,Collected Value,,,,,,Description::en::Date of examination [de-activated],
I.SYSBP,Systolic blood pressure,Systolic blood pressure,integer,3,,BP_SYSTOLIC,VS:VSORRES where VSTESTCD=SYSBP|VS:VSORRESU where VSTESTCD=SYSBP,Collected Value,,mmHg,,,,Description::en::Systolic blood pressure||osb:CompletionInstructions::en::Please collect the systolic blood pressure of the subject,
I.DIABP,Diastolic blood pressure,Diastolic blood pressure,integer,3,,BP_DIASTOLIC,VS:VSORRES where VSTESTCD=DIABP|VS:VSORRESU where VSTESTCD=DIABP,Collected Value,,mmHg||Pa,,,,Description::en::Diastolic blood pressure||osb:CompletionInstructions::en::Please collect the diastolic blood pressure of the subject,
I.PULSE,Pulse,Pulse,integer,3,,PULSE,VS:VSORRES/VSORRESU when VSTESTCD=PULSE,Collected Value,,beats/min,,,,Description::en::Pulse,
I.POSITION,Position,Position,string,15,,POSITION,VS:VSPOS where VSTESTCD=SYSBP|VS:VSPOS where VSTESTCD=DIABP,Collected Value,,,,POSITION,SITTING||SUPINE||STANDING,Description::en::Position of the subject||osb:CompletionInstructions::en::Please collect the position of the subject during the exam,
I.LATERALITY,Laterality,Laterality,string,15,,LATERALITY,VS:VSLAT where VSTESTCD=SYSBP|VS:VSLAT where VSTESTCD=DIABP,Collected Value,,,,LAT,RIGHT||LEFT,Description::en::Laterality of the measurement||osb:CompletionInstructions::en::Please collect the laterality of the exam,
I.LOC,Anatomical Location,Anatomical location,string,15,,LOCATION,VS:VSLOC where VSTESTCD=SYSBP|VS:VSLOC where VSTESTCD=DIABP,Collected Value,,,,LOC,ARM,Description::en::Anatomical Location of the measurement||osb:CompletionInstructions::en::Please collect the location of the subject during the exam,
ImportedInstance_Item_1,Acute Kidney Injury - Acute Urinary Tract Infection,Acute Kidney Injury - Acute Urinary Tract Infection,string,20,,,FA:FAORRES where FATESTCD=['AKIAURIN'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_2,Acute Kidney Injury -  Aminoglycoside(s),Acute Kidney Injury -  Aminoglycoside(s),string,20,,,FA:FAORRES where FATESTCD=['AKIAMINO'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_3,Acute Kidney Injury - Chronic Urinary Tract Infection,Acute Kidney Injury - Chronic Urinary Tract Infection,string,20,,,FA:FAORRES where FATESTCD=['AKICURIN'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_4,Acute Kidney Injury - Conditions,Acute Kidney Injury - Conditions,string,20,,,FA:FAORRES where FATESTCD=['AKICONDI'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_5,Acute Kidney Injury - Conditions Other,Acute Kidney Injury - Conditions Other,string,20,,,FA:FAORRES where FATESTCD=['AKICONOT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_6,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,string,20,,,FA:FAORRES where FATESTCD=['AKICTDIV'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_7,Acute Kidney Injury - CT Scan Performed,Acute Kidney Injury - CT Scan Performed,string,20,,,FA:FAORRES where FATESTCD=['AKICTSCA'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_8,Acute Kidney Injury - Family History of Kidney Disease,Acute Kidney Injury - Family History of Kidney Disease,string,20,,,FA:FAORRES where FATESTCD=['AKIFAMHI'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_9,Acute Kidney Injury - Hypertension,Acute Kidney Injury - Hypertension,string,20,,,FA:FAORRES where FATESTCD=['AKIHYPER'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_10,Acute Kidney Injury - Other Imaging Performed,Acute Kidney Injury - Other Imaging Performed,string,20,,,FA:FAORRES where FATESTCD=['AKIIMOTH'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_11,Acute Kidney Injury - Imaging Performed,Acute Kidney Injury - Imaging Performed,string,20,,,FA:FAORRES where FATESTCD=['AKIIMAGE'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_12,Acute Kidney Injury - Summary of Imaging Results,Acute Kidney Injury - Summary of Imaging Results,string,20,,,FA:FAORRES where FATESTCD=['AKIHISTO'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_13,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,string,20,,,FA:FAORRES where FATESTCD=['AKISC48'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_14,specimen,specimen,string,20,,,,Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_15,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,string,20,,,FA:FAORRES where FATESTCD=['AKISCI7D'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_16,specimen,specimen,string,20,,,,Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_17,Acute Kidney Injury - Initiation of RAS Blockade,Acute Kidney Injury - Initiation of RAS Blockade,string,20,,,FA:FAORRES where FATESTCD=['AKIRASBL'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_18,Acute Kidney Injury - IV Contrast,Acute Kidney Injury - IV Contrast,string,20,,,FA:FAORRES where FATESTCD=['AKIIVCON'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_19,Acute Kidney Injury - Summary of Biopsy Histology Results,Acute Kidney Injury - Summary of Biopsy Histology Results,string,20,,,FA:FAORRES where FATESTCD=['AKIBIHIS'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_20,Acute Kidney Injury - Kidney Biopsy Performed,Acute Kidney Injury - Kidney Biopsy Performed,string,20,,,FA:FAORRES where FATESTCD=['AKIBIOPS'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_21,Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,string,20,,,FA:FAORRES where FATESTCD=['AKINDA3M'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_22,Acute Kidney Injury - Nephrotoxic Treatment Other,Acute Kidney Injury - Nephrotoxic Treatment Other,string,20,,,FA:FAORRES where FATESTCD=['AKINDAOT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_23,Acute Kidney Injury - NSAIDs,Acute Kidney Injury - NSAIDs,string,20,,,FA:FAORRES where FATESTCD=['AKINSAID'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_24,Acute Kidney Injury - Post-Renal Obstructive Disease,Acute Kidney Injury - Post-Renal Obstructive Disease,string,20,,,FA:FAORRES where FATESTCD=['AKIPROBS'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_25,Acute Kidney Injury - Present Other,Acute Kidney Injury - Present Other,string,20,,,FA:FAORRES where FATESTCD=['AKIPROTH'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_26,Acute Kidney Injury - Primary Glomerulonephritis,Acute Kidney Injury - Primary Glomerulonephritis,string,20,,,FA:FAORRES where FATESTCD=['AKIPRGLO'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_27,Acute Kidney Injury - Progression of Chronic Kidney Disease,Acute Kidney Injury - Progression of Chronic Kidney Disease,string,20,,,FA:FAORRES where FATESTCD=['AKIPRCKD'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_28,Acute Kidney Injury - Recent Streptococcal Infection,Acute Kidney Injury - Recent Streptococcal Infection,string,20,,,FA:FAORRES where FATESTCD=['AKISTREP'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_29,Acute Kidney Injury - Renal Angio-Imaging Performed,Acute Kidney Injury - Renal Angio-Imaging Performed,string,20,,,FA:FAORRES where FATESTCD=['AKIRANIM'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_30,Acute Kidney Injury - Renal Artery Stenosis,Acute Kidney Injury - Renal Artery Stenosis,string,20,,,FA:FAORRES where FATESTCD=['AKIREAST'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_31,Acute Kidney Injury - Renal Vein Thrombosis,Acute Kidney Injury - Renal Vein Thrombosis,string,20,,,FA:FAORRES where FATESTCD=['AKIREVET'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_32,Acute Kidney Injury - Systemic Autoimmune Disease,Acute Kidney Injury - Systemic Autoimmune Disease,string,20,,,FA:FAORRES where FATESTCD=['AKISYAUD'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_33,Acute Kidney Injury - Ultrasound Performed,Acute Kidney Injury - Ultrasound Performed,string,20,,,FA:FAORRES where FATESTCD=['AKIULTRA'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_34,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,string,20,,,FA:FAORRES where FATESTCD=['AKIUV6H'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_35,specimen,specimen,string,20,,,,Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_36,Adjudication Outcome,Adjudication Outcome,string,20,,,ZA:ZAORRES where ZATESTCD=['ADJOUT'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_37,"Albumin, AE Requiring Additional Data","Albumin, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['ALB'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,g/L,,,,,
ImportedInstance_Item_38,Urinary Albumin Excretion,Urinary Albumin Excretion,string,20,,,LB:LBORRES where LBTESTCD=['ALB'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_39,specimen,specimen,string,20,,,,Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_40,Albumin/Creatinine,Albumin/Creatinine,integer,3,,,LB:LBORRES where LBTESTCD=['ALBCREAT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mg/mmol,,,,,
ImportedInstance_Item_41,Albumin/Creatinine Ratio,Albumin/Creatinine Ratio,integer,3,,,LB:LBORRES where LBTESTCD=['ALBCREAT'],Collected Value,FINDCAT:URINALYSIS,mg/mmol,,,,,
ImportedInstance_Item_42,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_43,Albumin Urine,Albumin Urine,integer,3,,,LB:LBORRES where LBTESTCD=['ALB'],Collected Value,FINDCAT:URINALYSIS,mg/L,,,,,
ImportedInstance_Item_44,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_45,"Albumin, g/dL","Albumin, g/dL",integer,3,,,LB:LBORRES where LBTESTCD=['ALB'],Collected Value,FINDCAT:BIOCHEMISTRY,g/dL,,,,,
ImportedInstance_Item_46,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_47,"Alkaline Phosphatase, AE Requiring Additional Data","Alkaline Phosphatase, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['ALP'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,IU/L,,,,,
ImportedInstance_Item_48,"Alanine Aminotransferase, AE Requiring Additional Data","Alanine Aminotransferase, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['ALT'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,U/L,,,,,
ImportedInstance_Item_49,"Alanine Aminotransferase, Biochemistry","Alanine Aminotransferase, Biochemistry",integer,3,,,LB:LBORRES where LBTESTCD=['ALT'],Collected Value,FINDCAT:BIOCHEMISTRY,U/L,,,,,
ImportedInstance_Item_50,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_51,"Amylase, AE Requiring Additional Data","Amylase, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['AMYLASE'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,U/L,,,,,
ImportedInstance_Item_52,"Amylase, Biochemistry","Amylase, Biochemistry",integer,3,,,LB:LBORRES where LBTESTCD=['AMYLASE'],Collected Value,FINDCAT:BIOCHEMISTRY,U/L,,,,,
ImportedInstance_Item_53,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_54,"Alkaline Phosphatase, Biochemistry","Alkaline Phosphatase, Biochemistry",integer,3,,,LB:LBORRES where LBTESTCD=['ALP'],Collected Value,FINDCAT:BIOCHEMISTRY,U/L,,,,,
ImportedInstance_Item_55,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_56,"Aspartate Aminotransferase, AE Requiring Additional Data","Aspartate Aminotransferase, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['AST'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,U/L,,,,,
ImportedInstance_Item_57,"Aspartate Aminotransferase, Biochemistry","Aspartate Aminotransferase, Biochemistry",integer,3,,,LB:LBORRES where LBTESTCD=['AST'],Collected Value,FINDCAT:BIOCHEMISTRY,U/L,,,,,
ImportedInstance_Item_58,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_59,BG Super GL Analyzer,BG Super GL Analyzer,integer,3,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:GLUCOSE METABOLISM,mmol/L,,,,,
ImportedInstance_Item_60,"Direct Bilirubin, AE Requiring Additional Data","Direct Bilirubin, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['BILDIR'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,umol/L,,,,,
ImportedInstance_Item_61,"Bilirubin, AE Requiring Additional Data","Bilirubin, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['BILI'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,umol/L,,,,,
ImportedInstance_Item_62,"Indirect Bilirubin, AE Requiring Additional Data","Indirect Bilirubin, AE Requiring Additional Data",integer,3,,,LB:LBORRES where LBTESTCD=['BILIND'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,umol/L,,,,,
ImportedInstance_Item_63,"Bilirubin, Biochemistry","Bilirubin, Biochemistry",integer,3,,,LB:LBORRES where LBTESTCD=['BILI'],Collected Value,FINDCAT:BIOCHEMISTRY,umol/L,,,,,
ImportedInstance_Item_64,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_65,Bilirubin Urine,Bilirubin Urine,string,20,,,LB:LBORRES where LBTESTCD=['BILI'],Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_66,specimen,specimen,string,20,,,,Collected Value,FINDCAT:URINALYSIS,,,,,,
ImportedInstance_Item_67,Have All Blood Samples Been Taken,Have All Blood Samples Been Taken,string,20,,,LB:LBORRES where LBTESTCD=['LBALL'],Collected Value,FINDCAT:COLLECTION OF SAMPLES,,,,,,
ImportedInstance_Item_68,specimen,specimen,string,20,,,,Collected Value,FINDCAT:COLLECTION OF SAMPLES,,,,,,
ImportedInstance_Item_69,Urea Nitrogen,Urea Nitrogen,integer,3,,,LB:LBORRES where LBTESTCD=['UREAN'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mg/dL,,,,,
ImportedInstance_Item_70,specimen,specimen,string,20,,,,Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,,,,,,
ImportedInstance_Item_71,Body Temperature,Body Temperature,integer,3,,,VS:VSORRES where VSTESTCD=['TEMP'],Collected Value,FINDCAT:VITAL SIGNS,C,,,,,
ImportedInstance_Item_72,location,location,string,20,,,VS:VSLOC,Collected Value,FINDCAT:VITAL SIGNS,,,LOC,AXILLARY||RECTAL||SKIN||ORAL CAVITY||EAR,,
ImportedInstance_Item_73,position,position,string,20,,,VS:VSPOSITION,Collected Value,FINDCAT:VITAL SIGNS,,,POSITION,SUPINE,,
ImportedInstance_Item_74,Body Weight,Body Weight,integer,3,,,VS:VSORRES where VSTESTCD=['WEIGHT'],Collected Value,FINDCAT:BODY MEASUREMENT,kg,,,,,
ImportedInstance_Item_75,Diastolic Blood Pressure,Diastolic Blood Pressure,integer,3,,,VS:VSORRES/ORRESU where VSTESTCD=['DIABP'],Collected Value,FINDCAT:VITAL SIGNS,mmHg,,,,,
ImportedInstance_Item_76,laterality,laterality,string,20,,,VS:VSLAT,Collected Value,FINDCAT:VITAL SIGNS,,,LAT,LEFT||RIGHT,,
ImportedInstance_Item_77,location,location,string,20,,,VS:VSLOC,Collected Value,FINDCAT:VITAL SIGNS,,,LOC,ARM,,
ImportedInstance_Item_78,position,position,string,20,,,VS:VSPOSITION,Collected Value,FINDCAT:VITAL SIGNS,,,POSITION,SUPINE||SITTING,,
ImportedInstance_Item_79,Systolic Blood Pressure,Systolic Blood Pressure,integer,3,,,VS:VSORRES/ORRESU where VSTESTCD=['SYSBP'],Collected Value,FINDCAT:VITAL SIGNS,mmHg,,,,,
ImportedInstance_Item_80,laterality,laterality,string,20,,,VS:VSLAT,Collected Value,FINDCAT:VITAL SIGNS,,,LAT,LEFT||RIGHT,,
ImportedInstance_Item_81,location,location,string,20,,,VS:VSLOC,Collected Value,FINDCAT:VITAL SIGNS,,,LOC,ARM,,
ImportedInstance_Item_82,position,position,string,20,,,VS:VSPOSITION,Collected Value,FINDCAT:VITAL SIGNS,,,POSITION,SUPINE||SITTING,,
ImportedInstance_Item_83,Cause of Death,Cause of Death,string,20,,,ZA:ZAORRES where ZATESTCD=['CAUSEDEA'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_84,CGM - Sensor Value,CGM - Sensor Value,integer,3,,,LB:LBORRES where LBTESTCD=['GLUC'],Collected Value,FINDCAT:CGM,mmol/L,,,,,
ImportedInstance_Item_85,Imaging Findings Characteristic of Pancreatitis,Imaging Findings Characteristic of Pancreatitis,string,20,,,ZA:ZAORRES where ZATESTCD=['IMAGFIND'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_86,Is the Subject of Childbearing Potential,Is the Subject of Childbearing Potential,string,20,,,RP:RPORRES where RPTESTCD=['CHILDPOT'],Collected Value,,,,,,,
ImportedInstance_Item_87,Classification of Myocardial Infarction,Classification of Myocardial Infarction,string,20,,,ZA:ZAORRES where ZATESTCD=['CLASSMYF'],Collected Value,FINDCAT:EVENT ADJUDICATION,,,,,,
ImportedInstance_Item_88,Creatinine Clearance,Creatinine Clearance,integer,3,,,LB:LBORRES where LBTESTCD=['CREATCLR'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mL/min,,,,,
ImportedInstance_Item_89,"Creatinine, Biochemistry","Creatinine, Biochemistry",integer,3,,,LB:LBORRES where LBTESTCD=['CREAT'],Collected Value,FINDCAT:BIOCHEMISTRY,umol/L,,,,,
ImportedInstance_Item_90,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_91,C-Reactive Protein,C-Reactive Protein,integer,3,,,LB:LBORRES where LBTESTCD=['CRP'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,mg/L,,,,,
ImportedInstance_Item_92,High Sensitive C-Reactive Protein,High Sensitive C-Reactive Protein,integer,3,,,LB:LBORRES where LBTESTCD=['CRP'],Collected Value,FINDCAT:BIOCHEMISTRY,mg/L,,,,,
ImportedInstance_Item_93,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
ImportedInstance_Item_94,Cystatin C,Cystatin C,integer,3,,,LB:LBORRES where LBTESTCD=['CYSTATC'],Collected Value,FINDCAT:AE REQUIRING ADDITIONAL DATA,ug/L,,,,,
ImportedInstance_Item_95,C-Peptide,C-Peptide,integer,3,,,LB:LBORRES where LBTESTCD=['CPEPTIDE'],Collected Value,FINDCAT:GLUCOSE METABOLISM,nmol/L,,,,,
ImportedInstance_Item_96,specimen,specimen,string,20,,,,Collected Value,FINDCAT:GLUCOSE METABOLISM,,,,,,
ImportedInstance_Item_97,C-Reactive Protein Plasma,C-Reactive Protein Plasma,integer,3,,,LB:LBORRES where LBTESTCD=['CRP'],Collected Value,FINDCAT:BIOCHEMISTRY,mg/L,,,,,
ImportedInstance_Item_98,specimen,specimen,string,20,,,,Collected Value,FINDCAT:BIOCHEMISTRY,,,,,,
